dataset,model,smote,accuracy,precision,recall,f1,far,auc,train_seconds,infer_seconds,tn,fp,fn,tp,notes
NSL-KDD,NB,False,0.5649,0.98,0.2406,0.3864,0.0065,0.7987,0.47,0.205,9647,63,9744,3088,author notebook logic
NSL-KDD,LR,False,0.7443,0.9142,0.6079,0.7302,0.0754,0.8276,4.165,0.031,8978,732,5032,7800,author notebook logic
NSL-KDD,LDA,False,0.7616,0.9249,0.6326,0.7514,0.0679,0.8484,5.568,0.015,9051,659,4714,8118,author notebook logic
NSL-KDD,AE+LR,False,0.7616,0.9165,0.6395,0.7533,0.077,0.904,63.118,0.004,8962,748,4626,8206,author notebook logic
NSL-KDD,NB,True,0.565,0.98,0.2408,0.3866,0.0065,0.7978,0.432,0.203,9647,63,9742,3090,author notebook logic
NSL-KDD,LR,True,0.7465,0.9139,0.6123,0.7333,0.0762,0.824,3.571,0.019,8970,740,4975,7857,author notebook logic
NSL-KDD,LDA,True,0.7632,0.9238,0.6365,0.7537,0.0694,0.8525,5.277,0.015,9036,674,4664,8168,author notebook logic
NSL-KDD,AE+LR,True,0.7655,0.9166,0.647,0.7586,0.0778,0.9047,81.868,0.003,8955,755,4530,8302,author notebook logic
NSL-KDD,NB,False,0.5649,0.98,0.2406,0.3864,0.0065,0.7987,0.0,0.0,0,0,0,0,paper Table 4
NSL-KDD,LR,False,0.7443,0.9142,0.6079,0.7302,0.0754,0.8276,0.0,0.0,0,0,0,0,paper Table 4
NSL-KDD,LDA,False,0.7616,0.9249,0.6326,0.7514,0.0679,0.8484,0.0,0.0,0,0,0,0,paper Table 4
NSL-KDD,AE+LR,False,0.7616,0.9165,0.6397,0.7534,0.077,0.904,0.0,0.0,0,0,0,0,paper Table 4
NSL-KDD,NB,True,0.565,0.98,0.2408,0.3866,0.0065,0.7978,0.0,0.0,0,0,0,0,paper Table 5
NSL-KDD,LR,True,0.7458,0.9137,0.6112,0.7324,0.0763,0.8227,0.0,0.0,0,0,0,0,paper Table 5
NSL-KDD,LDA,True,0.7632,0.9238,0.6365,0.7537,0.0694,0.8525,0.0,0.0,0,0,0,0,paper Table 5
NSL-KDD,AE+LR,True,0.7654,0.9166,0.6467,0.7583,0.0778,0.9043,0.0,0.0,0,0,0,0,paper Table 5
