label,family,count,detected,missed,recall
imap,R2L,1,0,1,0.0
sendmail,R2L,14,0,14,0.0
snmpgetattack,R2L,178,0,178,0.0
worm,R2L,2,0,2,0.0
guess_passwd,R2L,1231,2,1229,0.0016
snmpguess,R2L,331,2,329,0.006
httptunnel,R2L,133,3,130,0.0226
multihop,R2L,18,3,15,0.1667
warezmaster,R2L,944,166,778,0.1758
xlock,R2L,9,2,7,0.2222
named,R2L,17,4,13,0.2353
ftp_write,R2L,3,1,2,0.3333
phf,R2L,2,1,1,0.5
xsnoop,R2L,4,2,2,0.5
loadmodule,U2R,2,0,2,0.0
perl,U2R,2,0,2,0.0
sqlattack,U2R,2,0,2,0.0
buffer_overflow,U2R,20,1,19,0.05
xterm,U2R,13,2,11,0.1538
ps,U2R,15,5,10,0.3333
rootkit,U2R,13,5,8,0.3846
