label,family,count,detected,missed,recall
httptunnel,R2L,133,0,133,0.0
phf,R2L,2,0,2,0.0
sendmail,R2L,14,0,14,0.0
worm,R2L,2,0,2,0.0
xlock,R2L,9,0,9,0.0
xsnoop,R2L,4,0,4,0.0
guess_passwd,R2L,1231,1,1230,0.0008
snmpgetattack,R2L,178,1,177,0.0056
snmpguess,R2L,331,2,329,0.006
warezmaster,R2L,944,18,926,0.0191
multihop,R2L,18,3,15,0.1667
named,R2L,17,3,14,0.1765
ftp_write,R2L,3,1,2,0.3333
imap,R2L,1,1,0,1.0
perl,U2R,2,0,2,0.0
ps,U2R,15,0,15,0.0
sqlattack,U2R,2,0,2,0.0
rootkit,U2R,13,1,12,0.0769
buffer_overflow,U2R,20,3,17,0.15
xterm,U2R,13,2,11,0.1538
loadmodule,U2R,2,1,1,0.5
